University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;ETHICS IN HEALTHCARE RESEARCH;EHR260S;null;null
null;null;null;3;ADVANCED DISPENSING OPTICS;ADO370S;null;null
null;null;null;null;GENERAL AND OCULAR PATHOLOGY;GOP370S;null;null
null;null;null;null;OPHTHALMIC LENSES 3;OPL370S;null;null
null;null;null;null;PRACTICE MANAGEMENT AND ETHICS 3;PME370S;null;null
null;null;null;null;PUBLIC HEALTH;PBH370S;null;null
null;null;null;null;RESEARCH PROJECT;RSP370S;null;null
null;null;null;null;OPHTHALMIC INSTRUMENTATION AND TECHNOLOGY;OIT370S;null;null
null;null;null;null;LOW VISION DISPENSING;LVD370S;null;null
null;null;Diploma in Somatology;1;AESTHETICS PRACTICES 1;AET150S;null;null
null;null;null;null;BODY THERAPIES 1;BDT150S;null;null
null;null;null;null;COMMUNICATION SKILLS;CSL150S;null;null
null;null;null;null;DISEASE FUNDAMENTALS 1;DFU150S;null;null
null;null;null;null;FACIAL THERAPIES 1;FCT150S;null;null
null;null;null;null;HUMAN ANATOMY & PHYSIOLOGY 1;HAP151S;null;null
null;null;null;null;MICROBIOLOGICAL HYGIENE;MBH150S;null;null
null;null;null;null;NUTRITION 1;NTN150S;null;null
null;null;null;null;SALON MANAGEMENT 1;BUP150S;null;null
null;null;null;null;SOMATOLOGY SCIENCE;SCI150S;null;null
null;null;null;2;AESTHETICS PRACTICES 2;AET250S;null;null
null;null;null;null;BODY THERAPIES 2;BDT260S;null;null
null;null;null;null;COMPLEMENTARY THERAPIES 2;CPT260S;null;null
null;null;null;null;COSMETIC CHEMISTRY;COC260S;null;null
null;null;null;null;DISEASE FUNDAMENTALS 2;DFU260S;null;null
null;null;null;null;FACIAL THERAPIES 2;FCT260S;null;null
null;null;null;null;HUMAN ANATOMY & PHYSIOLOGY 2;HAP260S;null;null
null;null;null;null;NUTRITION 2;NTN260S;null;null
null;null;null;null;SALON MANAGEMENT 2;BUP260S;null;null
null;null;null;null;SALON PRACTICE 2;SAP260S;null;null
null;null;null;null;SOCIOPSYCHOLOGY;SCP260S;null;null
null;null;null;3;AESTHETICS PRACTICES 3;AET360S;null;null
null;null;null;null;BODY THERAPIES 3;BDT360S;null;null
null;null;null;null;COMPLEMENTARY THERAPIES 3;CPT360S;null;null
null;null;null;null;FACIAL THERAPIES 3;FCT360S;null;null
null;null;null;null;FUNDAMENTAL PHARMACOLOGY;FPM350S;null;null
null;null;null;null;SALON MANAGEMENT 3;BUP360S;null;null
null;null;null;null;SALON PRACTICES 3;SAP360S;null;null
