University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;RESEARCH METHODOLOGY 1: INTRODUCTION;RSM360S;null;null
null;null;null;null;CHEMISTRY PROJECT 3;CPJ360S;null;null
null;null;Diploma in Nature Conservation;1;ANIMAL STUDIES 1A;ANS150S;null;null
null;null;null;null;COMPUTER APPLICATIONS;COF150S;null;null
null;null;null;null;CONSERVATION COMMUNICATION;CNC150S;null;null
null;null;null;null;CONSERVATION ECOLOGY 1A;NCE150S;null;null
null;null;null;null;PLANT STUDIES 1A;BOT152S;null;null
null;null;null;null;ANIMAL STUDIES 1B;ANS151S;null;null
null;null;null;null;BIODIVERSITY MANAGEMENT 1B;REM150S;null;null
null;null;null;null;CONSERVATION ECOLOGY 1B;NCE160S;null;null
null;null;null;null;PLANT STUDIES 1B;BOT153S;null;null
null;null;null;null;PRINCIPLES OF CONSERVATION;NCD150S;null;null
null;null;null;2;BIODIVERSITY MANAGEMENT 2A;REM260S;null;null
null;null;null;null;CONSERVATION ECOLOGY 2;NCE260S;null;null
null;null;null;null;PLANT STUDIES 2;BOT260S;null;null
null;null;null;null;SOIL CONSERVATION;SSC250S;null;null
null;null;null;null;ANIMAL STUDIES 2;ANS260S;null;null
null;null;null;null;BIODIVERSITY MANAGEMENT 2B;REM261S;null;null
null;null;null;null;CONSERVATION EXTENSION 2;CTE260S;null;null
null;null;null;null;CONSERVATION PRACTICE 2A;CSP250S;null;null
null;null;null;null;CONSERVATION PRACTICE 2B;CSP251S;null;null
null;null;null;null;SOIL CONSERVATION;SSC250S;null;null
null;null;null;3;BIODIVERSITY MANAGEMENT 3;REM360S;null;null
null;null;null;null;CONSERVATION ADMINISTRATION 3;NCA360S;null;null
null;null;null;null;CONSERVATION COMPLIANCE;CCP360S;null;null
null;null;null;null;CONSERVATION EXTENSION 3;CTE360S;null;null
null;null;null;null;CONSERVATION PRACTICE 3;BEW360S;null;null
null;null;null;null;CONSERVATION RESEARCH 3;CVR360S;null;null
null;null;Extended Diploma in natrure conservation;1;CONSERVATION ECOLOGY 1A;NCE150X;null;null
null;null;null;null;PLANT STUDIES 1A;BOT152X;null;null
null;null;null;null;CONSERVATION ECOLOGY 1B;NCE160S;null;null
